01_falcon_p_ctg_groups_10_purge_dups_purged	all	120986297	151427026	79.8974
01_falcon_p_ctg_groups_11_purge_dups_purged	all	120557857	151427026	79.6145
01_falcon_p_ctg_groups_12_purge_dups_purged	all	121246270	151427026	80.0691
01_falcon_p_ctg_groups_13_purge_dups_purged	all	120785675	151427026	79.7649
01_falcon_p_ctg_salsa_purge_dups_purged	all	120751775	151427026	79.7426
02_falcon_p_h_ctg_groups_10_purge_dups_purged	all	121693478	151427026	80.3644
02_falcon_p_h_ctg_groups_11_purge_dups_purged	all	121676721	151427026	80.3534
02_falcon_p_h_ctg_groups_12_purge_dups_purged	all	121615467	151427026	80.3129
02_falcon_p_h_ctg_groups_13_purge_dups_purged	all	121426743	151427026	80.1883
02_falcon_p_h_ctg_salsa_purge_dups_purged	all	121641962	151427026	80.3304
11_arenosa_pilon12_groups_10_purge_dups_purged	all	120462394	151427026	79.5514
11_arenosa_pilon12_groups_11_purge_dups_purged	all	120460215	151427026	79.55
11_arenosa_pilon12_groups_12_purge_dups_purged	all	120568651	151427026	79.6216
11_arenosa_pilon12_groups_13_purge_dups_purged	all	120460412	151427026	79.5501
11_arenosa_pilon12_salsa_purge_dups_purged	all	120546838	151427026	79.6072
12_arenosa_purged_sr_groups_10_purge_dups_purged	all	120274691	151427026	79.4275
12_arenosa_purged_sr_groups_11_purge_dups_purged	all	120280576	151427026	79.4314
12_arenosa_purged_sr_groups_12_purge_dups_purged	all	120278251	151427026	79.4298
12_arenosa_purged_sr_groups_13_purge_dups_purged	all	120276096	151427026	79.4284
12_arenosa_purged_sr_salsa_purge_dups_purged	all	120278860	151427026	79.4302
